project,year,lender,debt_amount_usd,country,investment_sector
Road Equipment for Rural District Councils Purchase,2013,CIDCA,10000000,Zimbabwe,Transportation
"Huye – Kibeho - Munini Road Upgrade Project, 66km",2018,CHEXIM,76000000,Rwanda,Transportation
"Luanda Electrical Network Rehabilitation and Expansion, Phase II",2004,CHEXIM,40000000,Angola,Power
Gibe III Hydropower Project 10x187(1870MW) (ICBC loan),2010,ICBC,425000000,Ethiopia,Power
"Merowe Hydropower Project 1,250MW",2003,CHEXIM,608000000,Sudan,Power
Lusiwasi Hydropower Expansion Project & Lunzua Hydropower Rehabilitation Project 86MW,2013,CHEXIM,183000000,Zambia,Power
"Bui Hydropower Project 400 MW (CL part, Total 749.6mn)",2007,CHEXIM,306000000,Ghana,Power
"Electrical Substations in Luzira, Namanve, Mukono and Iganga Industrial Parks",2016,CHEXIM,85000000,Uganda,Power
Gribo Popoli Hydropower Project 112MW,2019,CHEXIM,290000000,Cote d'Ivoire,Power
Souapiti Hydropower Project 450MW,2018,CHEXIM,1000000000,Guinea,Power
"Kariba South Bank Hydropower Extension 2x150MW(300MW) (PEBC portion, total 320mn)",2013,CHEXIM,160000000,Zimbabwe,Power
"Olkaria IV Geothermal Drilling 140MW, 26 wells",2010,CHEXIM,102000000,Kenya,Power
"Warak Hydropower Project on Bini River, Adamaoua 75MW",2016,ICBC,303000000,Cameroon,Power
"Bata City Power Grid, Phase II",2016,CHEXIM,290000000,Equatorial Guinea,Power
"74km Transmission Line from Liouesso Hydropower Project to the town of Ouesso-North, 110kV",2012,CHEXIM,37000000,Republic of Congo,Power
Boucle de Dakar Electricity Network Supplementary Phase,2013,CN Gov,17000000,Senegal,Power
Sonangol Development,2014,CDB,2000000000,Angola,Mining
Telecoms-Huawei-Electricity,2014,"Huawei Technologies Co., Ltd.",34000000,Ethiopia,ICT
Public Security Communication System Project,2010,CHEXIM,400000000,Nigeria,ICT
Electronic Postal Program,2011,CHEXIM,69000000,Cameroon,ICT
Smart Zambia National ICT Development Project Phase I,2015,CHEXIM,66000000,Zambia,ICT
"Bié, HBO, HLA, LDA, New Generation Network, Project 3",2006,CHEXIM,68000000,Angola,ICT
E-government Project Phase II - WiMax Network Upgrade (CL Part),2011,CHEXIM,30000000,Ghana,ICT
National Telecom Phase III,2017,CHEXIM,161000000,Republic of Congo,ICT
National Optic Fibre Backbone Infrastructure (NOFBI) E-Government Expansion Project,2012,CHEXIM,74000000,Kenya,ICT
Modernization and Expansion of the National Mobile Network (Tmcel),2020,CHEXIM,132000000,Mozambique,ICT
"Supercomputer Center, University of Zimbabwe",2015,CIDCA,5000000,Zimbabwe,ICT
National Broadband,2015,CHEXIM,82000000,Senegal,ICT
Government Internal Telecom Network,2011,CHEXIM,40000000,Democratic Republic of Congo,ICT
National Backbone Fiber Optics,2014,CHEXIM,214000000,Guinea,ICT
E-Government Project,2010,CHEXIM,25000000,Togo,ICT
"New Mauritius Broadcasting Corporation (MBC) Headquarters-Tranche 4, Including Radio and TV Broadcast Equipment Procurement",2006,CIDCA,3000000,Mauritius,ICT
National Backbone Data Transmission Project III,2015,CHEXIM,15000000,Uganda,ICT
Equipment procurement and engineering services to National Telecommunications Corporation of Tunisia,2006,CHEXIM,6000000,Tunisia,ICT
"Luanda's Water Supply System, Package 4",2007,CHEXIM,83000000,Angola,Water
Yaounde Potable Water Supply from Sanaga River (PAEPYS),2015,CHEXIM,678000000,Cameroon,Water
Drilling of 150 wells (Tanjin Co.),2005,CHEXIM,11000000,Sudan,Water
"Camama - Road Infrastructure, Disbursement 3",2012,CDB,54000000,Angola,Other social
Mpila Memorial Hall,2014,CHEXIM,19000000,Republic of Congo,Other social
"Botswana Housing Corporation (BHC) 725 housing in Gaborone, Maun, Jwaneng, Lobatse and Francistown (CL part)",2003,CHEXIM,4000000,Botswana,Other social
Bukavu Stadium Project,2016,CHEXIM,14000000,Democratic Republic of Congo,Other social
"Cazenga/Sambizanga, Construction of Requalified Infrastructure",2011,CDB,130000000,Angola,Multisector
"Omo-Kuraz Sugar Factory 2, South Omo Zone",2013,CDB,290000000,Ethiopia,Industry
Purchase of 8 Hongdu K-8P Fighter Jet Trainers,2012,China National Aero-Technology Import and Export Corporation (CATIC),67000000,Zambia,Defense
Purchase of 2 46M Patrol Boats,2008,Poly Technologies Inc.,40000000,Ghana,Defense
Interbank Loan,2017,CDB,500000000,Egypt,Banking
BDEAC: SMEs,2016,CDB,42000000,Regional,Banking
TDB: Unknown,2015,PBC,8000000,Regional,Unallocated
Unknown,2004,CIDCA,5000000,Gabon,Unallocated
Unknown,2004,CN Gov,7000000,Sudan,Unallocated
Economic and Technical Cooperation Agreement,2015,CIDCA,23000000,Zimbabwe,Unallocated
Unknown,2007,CIDCA,4000000,Cameroon,Unallocated
Unknown,2011,CIDCA,8000000,Rwanda,Unallocated
Unknown,2014,CIDCA,15000000,Mali,Unallocated
Unknown,2012,CIDCA,13000000,Ethiopia,Unallocated
Economic and Trade cooperation,2007,CIDCA,3000000,Mauritius,Unallocated
Economic and Technical Cooperation,2011,CIDCA,16000000,Burundi,Unallocated
Unknown,2014,CIDCA,17000000,Mauritania,Unallocated
Unknown,2008,CIDCA,12000000,Democratic Republic of Congo,Unallocated
Unknown,2009,CIDCA,4000000,Cote d'Ivoire,Unallocated
Unknown,2006,CIDCA,3000000,Guinea,Unallocated
Economic and Technical Cooperation Agreement,2012,CIDCA,5000000,Togo,Unallocated
Technical Cooperation Agreement,2007,CIDCA,3000000,Equatorial Guinea,Unallocated
Unknown,2006,CIDCA,3000000,Namibia,Unallocated
30m Boats - 25 Units; 4.15m Canoes - 1000 Units,2006,CHEXIM,88000000,Angola,Agriculture
Irrigation Equipment,2005,CHEXIM,10000000,Sudan,Agriculture
3-Year Syndicated Term Loan to support foreign currency position - BoC,2002,BoC,10000000,South Africa,Budget
"Benguela, 1 Secondary School Construction; Luanda, 3 Secondary School Constructions",2005,CHEXIM,16000000,Angola,Education
Hotel Benguela Reconstruction,2013,CHEXIM,20000000,Angola,Business
"Malange, 3 Health Care Centers",2005,CHEXIM,11000000,Angola,Health
"Caxito-Nzeto Road Rehabilitation, 208km (Disbursements from 2007 Credit Line)",2007,CHEXIM,429000000,Angola,Transportation
Nairobi Southern Bypass,2011,CHEXIM,184000000,Kenya,Transportation
"Addis-Djibouti Railway (Ethiopian share, total 2.49bn) 656km, Tranche A",2013,CHEXIM,220000000,Ethiopia,Transportation
"Abuja-Keffi-Makurdi Road Rehabilitation and Upgrade, 227km",2017,CHEXIM,461000000,Nigeria,Transportation
TAZARA Equipment and Machinery,2006,CIDCA,5000000,Zambia,Transportation
"Gabon Border Road, Obouya-Boundji-Okoyo-Gabon Border, aka OBO Road, 125km, Phase I",2008,CHEXIM,106000000,Republic of Congo,Transportation
"Kribi Port Project - Phase II (EBC Part, total US$675million)",2017,CHEXIM,525000000,Cameroon,Transportation
"Beira to Machipanda EN6 Road Repair, 287km, Loan 1",2013,CHEXIM,104000000,Mozambique,Transportation
"Tiébissou-Bouaké Highway, 96km",2018,CHEXIM,283000000,Cote d'Ivoire,Transportation
Tamale Interchange Project,2018,Sinohydro Ltd.,39000000,Ghana,Transportation
Katanga: Lubumbashi - Kasomeno RN5 Asphalting (137km),2008,CHEXIM,88000000,Democratic Republic of Congo,Transportation
"Doraleh Multipurpose Port, Damerjog Livestock Port",2016,CHEXIM,344000000,Djibouti,Transportation
South Kordofan Um Rawaba- Abu Gibeha Ring Road / 141 km / Aum Roaba - Abu Gebaha Road,2009,CHEXIM,63000000,Sudan,Transportation
"Public Solar Street Light/Lamp Project, Phase 1 & 2",2014,CHEXIM,55000000,Togo,Transportation
Harare Robert Gabriel Mugabe International Airport Upgrade,2018,CHEXIM,152000000,Zimbabwe,Transportation
"Bugesera International Airport Access Road Project, 13.8km (SONATUBES-GAHANGA-AKAGERA ROAD)",2018,CHEXIM,50000000,Rwanda,Transportation
"Quifangondo-Mabubas Transmission Line, 60Kv",2005,CHEXIM,13000000,Angola,Power
"Addis Ababa, 400km Transmission Lines and Substations, Gibe III Hydropower Project (total 612mn)",2011,CHEXIM,188000000,Ethiopia,Power
El Gaili-Shendi-Atbara 220kV transmission line,2003,"Tebian Electric Apparatus Co., Ltd. (TBEA)",25000000,Sudan,Power
"120km Kariba North - Kafue West Transmission Line, 330kV",2014,CHEXIM,45000000,Zambia,Power
"Bui Hydropower Project 400 MW (CommL part, Total 749.6mn)",2007,CHEXIM,292000000,Ghana,Power
Bridging the Demand-Supply Gap through Accelerated Rural Electrification Programme (BDSGAREP),2019,CHEXIM,213000000,Uganda,Power
Hwange Coal Power Station Expansion 600MW Phase III - Units 7&8,2016,CHEXIM,998000000,Zimbabwe,Power
"320km, Rabai-Malindi-Garsen-Lamu Transmission Line, 2x220kv+132kV(572kV)",2010,CHEXIM,93000000,Kenya,Power
"Memve'ele to Ebolowa Hydropower Transmission Lines , 225kV",2017,CHEXIM,142000000,Cameroon,Power
Akpoga Electricity Infrastructure,2019,CDB,12000000,Equatorial Guinea,Power
Sonangol Recapitalization,2016,CDB,10000000000,Angola,Mining
Telecoms-ZTE-Electricity,2014,Zhongxing Telecommunication Equipment Corporation (ZTE),28000000,Ethiopia,ICT
Nigerian Communications Satellite (NIGCOMSAT) -Replacement Project,2010,CHEXIM,20000000,Nigeria,ICT
National Telecom Broadband Network Project - Phase I,2012,CHEXIM,168000000,Cameroon,ICT
Digital Migration Phase II and III - Eximbank Portion,2015,CHEXIM,232000000,Zambia,ICT
"Bié, HBO, HLA, and LDA, New Generation Network, Project 4",2006,CHEXIM,53000000,Angola,ICT
E-government Project Phase II - WiMax Network Upgrade (CommL Part),2011,CHEXIM,120000000,Ghana,ICT
Digital Television Migration,2017,CHEXIM,154000000,Republic of Congo,ICT
NOFBI Phase II Expansion Project,2016,CHEXIM,99000000,Kenya,ICT
NetOne Telecom Network Expansion Phase III,2019,CHEXIM,71000000,Zimbabwe,ICT
Smart Senegal Broadband Project,2018,CHEXIM,150000000,Senegal,ICT
Fiber-Optic Cables Phase II,2012,CHEXIM,91000000,Democratic Republic of Congo,ICT
New Mauritius Broadcasting Corporation (MBC) Headquarters-Tranche 5,2006,CIDCA,13000000,Mauritius,ICT
Telecom project,2007,CHEXIM,3000000,Tunisia,ICT
"Expansion of the Water Supply Network in the City of Huambo, Building of 20 Fountains and 2,000 New Household Connections, Building of Sewage Sludge Treatment Station and One Year of System Management Support",2007,CHEXIM,9000000,Angola,Water
"Potable Water Supply Projects in 9 Towns: Dschang, Yabassi, Maroua, Garoua, Garoua-Boulai - Phase II",2018,CHEXIM,86000000,Cameroon,Water
Drilling of 50 wells in Northern Kordofan (Tianjin Co.),2005,CHEXIM,4000000,Sudan,Water
"Cazenga / Sambizanga, Social Equipments Requalification, Disbursement 4",2012,CDB,9000000,Angola,Other social
Housing in Mpila,2014,CHEXIM,47000000,Republic of Congo,Other social
Palapye BHC Houses - 150 Houses,2003,CHEXIM,3000000,Botswana,Other social
"Cazenga/Sambizanga, Infrastructures Requalification, Disbursement 4",2012,CDB,54000000,Angola,Multisector
"Omo-Kuraz Sugar Factory 3, South Omo Zone",2013,CDB,290000000,Ethiopia,Industry
"Security Equipment for Police, the Immigration Department, Prisons and the Drug Enforcement Commission",2015,Poly Technologies Inc.,164000000,Zambia,Defense
Procurement of Goods for the Ghana Armed Forces,2010,Poly Technologies Inc.,85000000,Ghana,Defense
Interbank Loan,2018,CDB,600000000,Egypt,Banking
Afreximbank: Medium to Long Term Financing for Sub- Projects in Various Sector,2018,CDB,500000000,Regional,Banking
TDB: Unknown,2015,PBC,5000000,Regional,Unallocated
Unknown,2006,CIDCA,6000000,Gabon,Unallocated
Unknown,2005,CN Gov,4000000,Sudan,Unallocated
Unknown,2007,CIDCA,5000000,Cameroon,Unallocated
Economic and Technical Cooperation Agreement,2012,CIDCA,9000000,Rwanda,Unallocated
Framework Agreement,2014,CIDCA,24000000,Ethiopia,Unallocated
Economic and Trade cooperation,2008,CIDCA,4000000,Mauritius,Unallocated
Economic and Technical Cooperation,2012,CIDCA,8000000,Burundi,Unallocated
Unknown,2009,CIDCA,4000000,Democratic Republic of Congo,Unallocated
Unknown,2011,CIDCA,7000000,Cote d'Ivoire,Unallocated
Unknown,2011,CIDCA,3000000,Guinea,Unallocated
46.9m Patrol Boats - 5 Units; 33.88m Shrimp Boats - 10 Units; Canoes - 2000 Units,2006,CHEXIM,88000000,Angola,Agriculture
Kehaila East Agricultural Scheme - Merowe Resettlement,2008,China International Water & Electric Corporation (CWE),81000000,Sudan,Agriculture
5-Year Syndicated Term Loan to support foreign currency position - BoC,2002,BoC,10000000,South Africa,Budget
"Malange, 2 Secondary School Constructions",2005,CHEXIM,7000000,Angola,Education
Hotel Cabinda Reconstruction,2013,CHEXIM,23000000,Angola,Business
"Cazengo, Kwanza-Norte and Sumbe, Kwanza-Sul, Municipal Hospitals",2005,CHEXIM,17000000,Angola,Health
"Nzeto-Tomboco-Mbanza Congo Road Rehabilitation, 214km",2007,CHEXIM,144000000,Angola,Transportation
"SGR Phase I - Mombasa to Nairobi 472.3km (CommL portion, total 3.6bn)",2014,CHEXIM,2000000000,Kenya,Transportation
"Addis-Djibouti Railway (Ethiopian share, total 2.49bn) 656km, Tranche B",2013,CHEXIM,981000000,Ethiopia,Transportation
Supply of Rolling Stocks and Depot Equipment for Abuja Light Rail Project,2018,CHEXIM,157000000,Nigeria,Transportation
TAZARA,2006,CIDCA,13000000,Zambia,Transportation
"National Route 2, Owando-Makoua-Ouesso Road, Phase I (Owando-Makoua-Mambili, 126km)",2009,CHEXIM,303000000,Republic of Congo,Transportation
"Kribi Port Project - Phase II (CL Part, total US$675million)",2017,CHEXIM,150000000,Cameroon,Transportation
"Beira to Machipanda EN6 Road Repair, 287km, Loan 2",2014,CHEXIM,312000000,Mozambique,Transportation
"PTC Roundabout Interchange Project, Takoradi",2018,Sinohydro Ltd.,58000000,Ghana,Transportation
"Boulevard du 30 Juin Refurbishment in Kinshasa, Part 2 (2.5km)",2009,CHEXIM,19000000,Democratic Republic of Congo,Transportation
Al Dibabat-Abou Zayd-El Fula Road (or Dubeibat-Abu Zabad-El Fula Road) 185 km,2009,CHEXIM,90000000,Sudan,Transportation
Lome International Airport Taxiway and Corridor Extension,2016,CIDCA,62000000,Togo,Transportation
"Capanda-Lucala-Ndalatando Transmission Line, 220kV",2005,CHEXIM,25000000,Angola,Power
Adama Wind Farm II 153MW,2013,CHEXIM,293000000,Ethiopia,Power
Merowe Hydropower Project transmission lines and substations,2003,CHEXIM,381000000,Sudan,Power
Musonda Falls upgrade bridge loan 1,2015,Sinohydro Ltd.,10000000,Zambia,Power
NES - Upper West Regional Electrification Project,2010,China International Water & Electric Corporation (CWE),77000000,Ghana,Power
Equipment for Artisanal Miners Disbursement 1,2017,Xuzhou Construction Machinery Group (XCMG),5000000,Zimbabwe,Power
Drilling Materials for Olkaria Geothermal Wells,2012,CHEXIM,383000000,Kenya,Power
"Photovoltaic System, Electrification of 350 Communities - Phase II (184 Communities)",2017,BoC,123000000,Cameroon,Power
High Voltage Electricity Network Extension and Maintenance,2019,CDB,83000000,Equatorial Guinea,Power
National Geology Plan Project,2017,CHEXIM,65000000,Angola,Mining
ICT Infrastructure Backbone I Project,2013,CHEXIM,100000000,Nigeria,ICT
Emergency Telecommunication Network,2013,CHEXIM,156000000,Cameroon,ICT
Public Security Network III,2016,CDB,179000000,Zambia,ICT
"418,750 New Telecommunication Lines",2007,CHEXIM,59000000,Angola,ICT
University of Ghana Legon ICT-Enabled Distance Learning System Phase II,2012,CHEXIM,32000000,Ghana,ICT
Konza Data Center and Smart City Facilities,2019,CHEXIM,168000000,Kenya,ICT
Modernization and Digitization of Finance Ministry Communications Systems,2020,CHEXIM,150000000,Democratic Republic of Congo,ICT
CCTV Surveillance System,2009,CIDCA,10000000,Mauritius,ICT
"Building of Residual Water Treatment Station (Quifangondo), Distribution Center in the Municipality of Cacuaco, and Implementing New Household Connections (Contract of Rehabilitation of Luanda's Water System)",2007,CHEXIM,26000000,Angola,Water
Gedarif Water Supply System Project,2005,CHEXIM,67000000,Sudan,Water
"Futungo de Belas Real Estate Development Project, Phase I - 8000 Units",2014,ICBC,120000000,Angola,Other social
Social Housing in Mt. Mambou,2014,CHEXIM,70000000,Republic of Congo,Other social
"Gaborone, Maun, Jwaneng, Lobatse and Francistown BHC Houses - 725 houses (EBC part)",2004,CHEXIM,24000000,Botswana,Other social
"Construction of Integrated Infrastructure, Lar do Patriota, Phase I",2014,CDB,59000000,Angola,Multisector
"Welkait Sugar Mill, Tigray Region",2014,CHEXIM,500000000,Ethiopia,Industry
Purchase of 6 Hongdu L-15 Trainer Jets,2015,China National Aero-Technology Import and Export Corporation (CATIC),211000000,Zambia,Defense
Execution and Completion of the Military Housing Units for the Ghana Armed Forces,2019,Poly Technologies Inc.,100000000,Ghana,Defense
Afreximbank: Pandemic Trade Impact Mitigation Facility (PATIMFA) Program-BoC,2020,BoC,200000000,Regional,Banking
"Afreximbank: Trade Finance, China Guaranteed Loan Tranche II",2016,CHEXIM,50000000,Regional,Unallocated
Unknown,2008,CIDCA,9000000,Gabon,Unallocated
Unknown,2009,CIDCA,12000000,Sudan,Unallocated
Economic and Technical Cooperation Agreement,2010,CIDCA,8000000,Cameroon,Unallocated
Economic and Technical Cooperation Agreement,2012,CIDCA,19000000,Rwanda,Unallocated
Economic and Trade cooperation,2010,CIDCA,6000000,Mauritius,Unallocated
Economic and Technical Assistance,2013,CIDCA,8000000,Democratic Republic of Congo,Unallocated
"Unknown, Economic Cooperation Agreement for Socioeconomic Infrastructure",2013,CIDCA,16000000,Cote d'Ivoire,Unallocated
"33.56m Fishing Boats - 10 Units; 49m Speed Boat - 1 Unit; 89.86m ""Navo-Porão"" - 1 Unit ; 29.7m Patrol Boats - 5 units ; and 34m Tugboat - 1 Unit",2006,CHEXIM,64000000,Angola,Agriculture
Agricultural improvement/electricification in Blue Nile,2010,CHEXIM,30000000,Sudan,Agriculture
3-Year Syndicated Term Loan to support foreign currency position - CCB,2003,CCB,26000000,South Africa,Budget
"Huíla, 1 Institute of Technology and 1 Secondary School Construction",2005,CHEXIM,13000000,Angola,Education
"Dondo and Ndalatando, Kwanza-Norte, 2 Health Care Centers",2005,CHEXIM,7000000,Angola,Health
"Cars Purchase - 1500 Units, Phase II",2007,CHEXIM,57000000,Angola,Transportation
"SGR Phase I - Mombasa to Nairobi, 472.3km (CL portion, total 3.6bn)",2014,CHEXIM,1000000000,Kenya,Transportation
"Addis-Djibouti Railway (Ethiopian share, total 2.49bn) 656km, Tranche C",2013,CHEXIM,1000000000,Ethiopia,Transportation
Lekki Deep Water Port,2019,CDB,629000000,Nigeria,Transportation
Procurement of Earth-moving Equipment for Road Rehabilitation,2007,CHEXIM,40000000,Zambia,Transportation
"National Route 2, Owando-Makoua-Ouesso Road, Phase II (Mambili-Ouésso, 199km)",2012,CHEXIM,234000000,Republic of Congo,Transportation
Adenta-Dodowa Dual Carriageway 14 km,2018,Sinohydro Ltd.,71000000,Ghana,Transportation
"Kinshasa, Triomphal and Sendwe Boulevards Refurbishment - Original (3.67km)",2009,CHEXIM,29000000,Democratic Republic of Congo,Transportation
El Nahood-Aum Kadada Road (or En Nahud-Um Kadada Road) 211 km,2009,CHEXIM,110000000,Sudan,Transportation
Niamtougou Airport Re-development,2016,CHEXIM,44000000,Togo,Transportation
"Cambambe-Luanda Transmission Line, 220kV",2005,CHEXIM,35000000,Angola,Power
"1400 km, Renaissance Dam to Addis Ababa Power Transmission Line and Distribution, 500kV",2013,State Grid Corporation of China (SGCC),1000000000,Ethiopia,Power
El Jaili (Garri) Power Plant Phase II,2004,"Harbin Electric Company, Ltd.",82000000,Sudan,Power
Mpika Power Supply,2016,ICBC,30000000,Zambia,Power
"Western Corridor Gas Infrastructure Project, Jubilee Oil Field",2012,CDB,850000000,Ghana,Power
Equipment for Artisanal Miners Disbursement 2,2018,Xuzhou Construction Machinery Group (XCMG),5000000,Zimbabwe,Power
Nairobi 132 KV & 66KV Network Upgrade and Reinforcement Project Phase II,2014,CHEXIM,106000000,Kenya,Power
"Ebolowa-Kribi, 225 KV and Mbalmayo-Mekin, 90 KV Transmission Lines",2019,BoC,56000000,Cameroon,Power
National ICT Infrastructure Backbone Phase II Project,2018,CHEXIM,334000000,Nigeria,ICT
National Fiber-Optic Backbone Expansion,2015,CHEXIM,79000000,Cameroon,ICT
Communication Towers Project Phase II (Smart Zambia/Zambia ICT Project Phase II),2017,CHEXIM,281000000,Zambia,ICT
Angola E-Government Project for 4 Major Province's Capitals - Project 3,2009,CHEXIM,337000000,Angola,ICT
Integrated National Security Communications Enhancement Network (ALPHA) Project - Phase I,2013,CDB,150000000,Ghana,ICT
Safe City Project,2018,CHEXIM,75000000,Mauritius,ICT
"Expansion of the water supply network in the cities of Caxito and Catete, Building of Fountains and 100 New Household Connections and Assistance with System Management for One Year, and Rehabilitation of the Water Treatment System in Uíge, Expansion of the Water Supply Network and System Management Support for One Year",2007,CHEXIM,6000000,Angola,Water
Dongla Water Supply Project,2006,CHEXIM,34000000,Sudan,Water
Housing Contracts in Cunene-450 Units and in Uíge-500 Units,2015,CDB,52000000,Angola,Other social
Social Housing in Mt. Barnier,2014,CHEXIM,6000000,Republic of Congo,Other social
Gaborone 293 Houses in District 7,2006,CHEXIM,8000000,Botswana,Other social
"Construction of Integrated Infrastructure, Cabinda, Phase 1 Stage 2",2014,CDB,22000000,Angola,Multisector
"Omo-Kuraz Sugar Factory - 5, South Omo Zone",2015,ICBC,550000000,Ethiopia,Industry
Police and Security Force Housing - 2350 Units,2016,ICBC,275000000,Zambia,Defense
"Afreximbank: Loans to African Banks for Trade Finance, Syndicated Loans, Etc.",2018,BoC,350000000,Regional,Unallocated
Unknown,2009,CIDCA,7000000,Gabon,Unallocated
Economic and Technical Cooperation Projects / Renovation of Friendship Hall in Khartom,2012,CIDCA,29000000,Sudan,Unallocated
Economic and Technical Cooperation Agreement,2011,CIDCA,16000000,Cameroon,Unallocated
Economic and Technical Cooperation Agreement,2014,CIDCA,8000000,Rwanda,Unallocated
Economic and Trade cooperation,2011,CIDCA,3000000,Mauritius,Unallocated
Economic and Technical Cooperation Agreement,2014,CIDCA,16000000,Democratic Republic of Congo,Unallocated
"Irrigation Projects (Caxito, Gandgelas, Luena, and Waco-Kungo), Phase II",2007,CHEXIM,49000000,Angola,Agriculture
Integrated slaughterhouse,2017,CIDCA,15000000,Sudan,Agriculture
3-Year Syndicated Term Loan to support foreign currency position - BoC,2003,BoC,26000000,South Africa,Budget
"Kwanza-Sul and Kwanza-Norte, 2 Agrarian Technical Schools",2005,CHEXIM,41000000,Angola,Education
"Namibe, Municipal Hospital of Namibe",2005,CHEXIM,8000000,Angola,Health
Railroad Equipment Purchase,2007,CHEXIM,62000000,Angola,Transportation
"SGR Phase II Nairobi to Malaba - Sub-phase 1, Nairobi to Naivasha Section, 120.4km",2015,CHEXIM,1000000000,Kenya,Transportation
"Addis-Adama Expressway Phase II (Toll Montovay), 28km",2013,CHEXIM,143000000,Ethiopia,Transportation
Four Airport Terminals Expansion Incremental Project,2019,CHEXIM,209000000,Nigeria,Transportation
TAZARA Protocol - 2009 Recapitalization,2009,CIDCA,19000000,Zambia,Transportation
"Gabon Border Road, Okoyo-Lékéty-Frontier Road, 90km, Phase II",2012,CHEXIM,74000000,Republic of Congo,Transportation
Sunyani Inner City Roads 39 km,2018,Sinohydro Ltd.,49000000,Ghana,Transportation
"Boulevard du 30 Juin Refurbishment in Kinshasa, Part 1 (5.3km)",2009,CHEXIM,26000000,Democratic Republic of Congo,Transportation
Zalingei-El Geneinah Road (or Zalingei-Al Junaynah Road) 175 km,2009,CHEXIM,120000000,Sudan,Transportation
"Luanda-Sul Substation, 220kV",2005,CHEXIM,27000000,Angola,Power
"Ethiopia-Djibouti Railway Transmission Line Power Supply, 750km",2015,CHEXIM,31000000,Ethiopia,Power
El Jaili (Garri) Power Plant Phase IV 100MW,2004,China Machinery Engineering Corporation (CMEC),129000000,Sudan,Power
"Musonda Falls Upgrade Bridge, Loan 2",2016,Sinohydro Ltd.,29000000,Zambia,Power
Bui Hydropower Project 400MW Additional Finance Loan 1(Total 749.6mn),2012,CHEXIM,75000000,Ghana,Power
Garissa Solar Power Project 50MW,2015,CHEXIM,136000000,Kenya,Power
National Broadband Telecommunication Network - Phase II (including South Atlantic Inter Link (SAIL) undersea cable and Zamengoe data center),2015,CHEXIM,337000000,Cameroon,ICT
Digital Migration Phase II and III - StarTimes Portion,2017,StarTimes Group (StarTimes),41000000,Zambia,ICT
Angola E-Government Project for Cnti - Project 1,2011,CHEXIM,14000000,Angola,ICT
Accra One-stop Center for Public Services,2013,CHEXIM,1000000,Ghana,ICT
"Lundas Sul and Norte, Dundo and Saurimo Water Systems",2008,CHEXIM,32000000,Angola,Water
Matama-Abu Hamed-El Daba Water Supply Project,2006,CHEXIM,27000000,Sudan,Water
"Housing Projects in Malanje - 500 Units, Moxico - 450 Units, and Bié - 500 Units",2015,ICBC,80000000,Angola,Other social
Social Housing in Ndouo,2014,CHEXIM,11000000,Republic of Congo,Other social
Gaborone Multipurpose Youth Center,2007,CIDCA,11000000,Botswana,Other social
"Construction of Integrated Infrastructure, Malanje, Phase 1 Stage 2",2014,CDB,12000000,Angola,Multisector
"Adama, Ethio-Hunan Equipment Production Cooperation Industrial Park",2017,CHEXIM,262000000,Ethiopia,Industry
Zambia Army 7th Regiment Barracks and Headquarter in Choma Province,2018,ICBC,210000000,Zambia,Defense
"Afreximbank: Reduce Cost of Funds and Diversify Books, Investor Type and Tenor, China Guaranteed Loan 2 Tranche II",2019,CHEXIM,75000000,Regional,Unallocated
Unknown,2010,CIDCA,11000000,Gabon,Unallocated
Zero-interest loan from 2018 FOCAC package,2018,CIDCA,29000000,Sudan,Unallocated
Various Projects (Loan 2013/01),2013,CIDCA,12000000,Cameroon,Unallocated
Development Projects,2013,CIDCA,8000000,Mauritius,Unallocated
Agricultural Equipment Purchase,2007,CHEXIM,20000000,Angola,Agriculture
3-Year Syndicated Term Loan to support foreign currency position - CCB,2004,CCB,31000000,South Africa,Budget
Neto University Campus Completion of the Buildings,2005,CHEXIM,44000000,Angola,Education
Hospital of Malange,2005,CHEXIM,26000000,Angola,Health
"Luanda, Benguela, Huambo, Uíge, Malange Urban Public Transportation Vehicles Purchase - 5,500 Units",2007,CHEXIM,396000000,Angola,Transportation
"Kibwezi-Mutomo-Kitui-Migwani Road Upgrade, 472km, Phase I",2016,CHEXIM,225000000,Kenya,Transportation
Bole Airport Expansion,2013,CHEXIM,239000000,Ethiopia,Transportation
Four Airport Terminals Expansion Ancillary Project,2019,CHEXIM,184000000,Nigeria,Transportation
TAZARA 14th Protocol - Engine and Wagon Purchase,2010,CIDCA,39000000,Zambia,Transportation
"National Route 1, Pointe-Noire-Brazzaville Road, Phase II (Dolisie-Brazzaville, 376km)",2012,CHEXIM,1000000000,Republic of Congo,Transportation
Western Region and Cape Coast Inner City Roads 32.19 km,2018,Sinohydro Ltd.,40000000,Ghana,Transportation
"RN5 Bukavu - Ngangezi - Kamanyola Upgrade, 55km, Phase I (5/55km)",2010,CHEXIM,15000000,Democratic Republic of Congo,Transportation
"Sennar Bridge 3,025 meters",2010,CHEXIM,59000000,Sudan,Transportation
"Benguela, Huambo and Bié MT and BT Networks, Part 1 - Huambo",2007,CHEXIM,50000000,Angola,Power
"355km Genale Dawa III-Yirgalem II-Wolayita Sodo II-Hawassa II transmission lines and substation, 400KV",2016,CHEXIM,249000000,Ethiopia,Power
Electric generators (CNEEN Co.),2005,CHEXIM,6000000,Sudan,Power
